_id,objectid_1,objectid,acreage,sqft,final_cat,Neighborhood,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,globalid_1,shape_area,shape_length
18822,1247,101,0.69761233,30387.87175,Beautification Site,Lawrenceville,2,Legion Memorial Park,Legion Memorial Park,Legion Memorial Park,Riverview,786.6457898,8256c558-9b8e-4999-af5e-828fca9537b9,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Riverview,0.697612335,30895e19-111b-4005-bba4-4bda5c8c0b04,4885.421875,315.3654329
18823,1248,186,2.12662921,92635.59774,Neighborhood Park,Mount Washington,6,Warrington Playground,Warrington Park,Warrington Park,McKinley,1245.758223,bf852bdb-5458-44ff-ba0c-5c6b16e5ccd9,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - McKinley,2.126629208,bfe02c09-1857-4095-95c4-893a0e9f4261,14866.4375,498.8096077
18824,1249,199,0.7272454,31678.68295,Beautification Site,Upper Hill,14,Zulema Passive Area,Zulema Park,Zulema Passive Area,Schenley,816.8407501,9b0e7c16-0d06-44a7-96ba-f616bd7d0fdb,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Schenley,0.727245401,827b8e17-5e07-431e-907f-eaff4f5e01db,5086.035156,327.0878793
18825,1250,120,0.1998298,8704.551095,Neighborhood Park,McCandless,13,McCandless Tot Lot,McCandless Park,McCandless Park,Highland,376.6168322,6466049c-ed79-4b4a-a7fd-eee9db4eaba5,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Highland,0.199829796,fd04021b-8b32-4cc2-a816-9ee902dc3cf4,1399.371094,151.0058013
18826,1251,42,0.28036624,12212.70452,Neighborhood Park,Allentown,2,Cross & Strauss Parklet,Cross and Strauss Park,Cross and Strauss Park,Riverview,474.7128683,f9c675a5-8da5-4e06-a308-2cf81ad5cc8f,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Riverview,0.280366239,384fea4c-7b17-47c2-9ab9-7a331e1d923f,1962.460938,180.8723469
18827,1252,122,77.83255445,3390372.51,Community Park,Mckinley,6,McKinley Park,McKinley Park,McKinley Park,McKinley,17715.76597,0057c452-d431-4d76-bd57-a1f581977a5e,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - McKinley,77.83255445,80b911a9-27a1-4e41-a417-f3d86215478d,543957.0938,7085.601534
18828,1253,156,1.98205996,86338.18632,Regional Park,Mount Washington,6,Ream Parklet,Emerald View Park - Ream Park,Emerald View Regional Park,Emerald,1359.156066,e532a31c-a671-42ae-98da-2ed252192a64,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Emerald,1.982059956,8528fe07-f150-492e-99a7-8427b4c665c6,13859.73828,544.7224349
18829,1254,110,0.25679383,11185.89461,Special Use Park,Upper Hill,6,Lodge Potenza Senior Center,Lodge Potenza Healthy Active Living Center,Lodge Potenza Senior Center,Emerald,471.6775281,8a29e613-32df-49c3-8a6c-f48f768f311f,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Emerald,0.256793833,b8f1bb5f-5d55-46eb-aa01-3d27570f5b86,1795.605469,189.0334287
18830,1255,192,0.01301447,566.908068,Beautification Site,Westwood,4,Westwood Island,Westwood Island,Westwood Island,,93.1245652,82bd048c-8ac4-45af-991b-72228f39bd32,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,5th Division,1.30E-02,bbcb51ce-5ee7-452a-8885-9fd9f6476b50,91.00390625,37.31029069
18831,1256,80,0.43052337,18753.52292,Beautification Site,Downtown,16,Grant Street Islands,Grant Street Islands,Grant Street Islands,,3596.229945,ec7791b6-034e-4e49-95d3-594550c438cf,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,6th Division,0.430523369,c1883829-3da9-431e-8118-f6a9d0a1aa0c,3011.285156,1442.392549
18832,1257,74,2.82910379,123235.2681,Neighborhood Park,West End,12,Garland Parklet,Garland Park,Garland Park,Highland,1899.44182,57d9a24b-1e2e-45c4-b7b0-8ca0b4afb9de,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Highland,2.829103788,c3c7972b-e76e-4f89-9658-564a46c14ff7,19802.02344,709.7200312
18833,1258,179,0.59164129,25771.79165,Beautification Site,Point Breeze,11,Thomas Blvd Planting Strip,Thomas Blvd Planting Strip,Thomas Blvd Planting Strip,Frick,2507.73331,241f501a-1070-401c-b117-168461d0d1ca,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Frick,0.591641293,3115d533-3b6b-4f77-9854-e56d7743a523,4139.9375,1004.094755
18834,1259,19,0.25893533,11279.17801,Beautification Site,Bedford Dwellings,16,Bedford Strip,Bedford Strip,Bedford Strip,,1553.55959,dfea1aef-b523-4d33-af69-492304f521a0,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,3rd Division,0.258935334,11138906-6a58-4201-9133-87ce95e6a786,1811.300781,621.9978355
18835,1260,188,4.68886759,204246.255,Neighborhood Park,West End,4,West End Elliot Overlook Park,West End-Elliott Overlook Park,West End-Elliot Overlook Park,Emerald,4135.085025,db34d78e-3287-40aa-8754-89ff7af41c76,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Emerald,4.688867586,58f157a5-2f14-45de-b7dc-50a449bcb60a,32801.9375,1657.281691
18836,1261,98,1.51313306,65911.81255,Neighborhood Park,Larimer,12,Larimer Playground,Larimer Park,Larimer Park,Highland,1546.479562,e2dfdfa0-07bf-44bc-b67a-987e04079b1f,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,pgh.dcp.allisot,2023-08-02T14:10:28.845000+00:00,Parks - Highland,1.513133063,ea660eea-e7a8-401f-a66d-e28e0ce1abac,10591.80078,606.7868929
